Abbott, BP
 Thywissen, JH
 Karim, NI
 Maries, A
 Stewart, G
 Moote, J
 Ziegler, SA
 Stang, JB
 Shemwell, JT
 Cid, XC
 Banda, R
 Jones, J
 Degol, J
 Galloway, RK
 Walton, GM
 Quinn, PD
 Tai, RH
 Johnson, A
 Renninger, KA
 Eccles, JS
 ARONSON, J
 White, S
 Bailey, MB
 Taasoobshirazi, G
 Britner, SL
 Leung, ACK
 Marshman, E
 Terrana, A
 Singh, C
 Gutmann, B
 Gladding, G
 Willis, MC
 Mestre, JP
 Timan, AL
 Tanner, KD
 de Bruyn, JR
 Antimirova, T
 Mazur, E
 Azevedo, R
 Chabay, R
 Schnackenberg, HL
 Kalender, ZY
 Sansone, C
 Cohen, E
 Peterson, C
 Prevost, L
 Gravel, B
 Yoon, H
 Stelzer, T
 Proske, A
 Belloni, M
 Valcke, M
 Gillaspy, JA
 Nora, A
 Kester, L
 Sweller, J
 Rikers, RMJP
 Hart, IR
 Young, DB
 Christe, P
 Lee, KJ
 Buss, DM
 NEEL, JV
 GODIN, JGJ
 Maier, MA
 Greven, C
 Wickings, EJ
 Gerald, MS
 Thornhill, R
 Sabini, J
 Monin, B
 Barton, RA
 Scheyd, GJ
 Pelham, BW
 Havlicek, J
 Wilson, DS
 Simpson, JA
 Sellergren, SA
 Miller, RS
 Shiffrin, RM
 Dixson, AF
 Flykt, A
 Burns, SA
 Buswell, BN
 Bax, CM
 RAYMOND, P
 MOLLER, AP
 JONES, GE
 WALSTER, E
 Ramirez, E
 Lee, K
 Jacobson, A
 Rhodes, G
 Darling, S
 Simmons, LW
 Bartholome, T
 Schwarz, N
 Laing, S
 Jones, BC
 Little, AC
 Fink, B
 Winston, J
 Reierson, GW
 Etcoff, N
 Wickham, LHV
 Montgomerie, R
 Yoshikawa, S
 Olds, TS
 Kalakanis, L
 Gangestad, SW
 Perrett, DI
 Grammer, K
 Goodwin, G
 Deffenbacher, KA
 CUTHILL, IC
 BUTTERWORTH, G
 Brewe, E
 Renzulli, JS
 Benbow, Camilla P
 Cantor, N
 Kessels, U
 Graham, L
 Ortiz-Munoz, SM
 Perkins, KK
 Yeung, AS
 Chiu, MM
 Kurdziel, JP
 WARSI, G
 Rudman, LA
 Williams, WM
 Brooks, ME
 Garcia, J
 Crouch, CH
 Brickman, P
 Brownell, SE
 Hannafin, MJ
 Costa, LJ
 Lee, G
 Papadopoulos, PM
 Durik, AM
 Butterfield, B
 Brown, ER
 Converse, M
 Logel, C
 Weisgram, ES
 Wylie, R
 Farro, S
 Schwartz, BM
 Betz, DE
 Ryan, CS
 Katz, J
 Momsen, J
 Williams, AM
 Dovidio, JF
 Rattan, A
 Clark, EK
 Rosenthal, L
 Whitehead, J
 Kost-Smith, LE
 Steinke, J
 Denessen, E
 Long, MC
 Powell, E
 Devine, PG
 Steele, CM
 Sekaquaptewa, D
 Terracciano, A
 London, B
 Gotlieb, R
 Smith, JL
 Lewis, KL
 Hernandez, PR
 Crocker, J
 Barron, KE
 Cohen, GL
 Corpus, JH
 Hunter, AB
 HILL, KG
 LEPPER, MR
 Siy, JO
 Mars, DE
 Metz, AM
 Cech, EA
 Fingerhut, A
 Plaut, VC
 Blair-Loy, M
 Reid, AH
 Harackiewicz, JM
 Rounds, J
 Ye, FF
 Ruiz, JM
 Peck, SC
 Farkas, T
 Ramirez, G
 Campbell, KL
 Alparone, FR
 Spurk, D
 Meltzoff, AN
 Paris, SG
 Wang, YY
 Lerner, RM
 Leaper, C
 Godes, O
 Holcombe, R
 Cacchio, M
 Goetz, T
 Hyde, JS
 Marcoulides, GA
 Linnenbrink-Garcia, L
 Lubinski, D
 Lindberg, SM
 Muller, C
 Johnson, DW
 Riegle-Crumb, C
 Regner, I
 Firker, A
 Cortina, KS
 Ryan, AM
 Trzesniewski, KH
 Schoenfelder, E
 Liu, CQ
 Vida, M
 Johns, M
 Benbow, CP
 Seligman, MEP
 Geiser, C
 Migeon, CJ
 Harter, S
 Vasilyeva, M
 Jovanovic, J
 Snow, CE
 Winslow, SE
 Steward, JC
 Bleeker, MM
 Michael, A
 Alsop, D
 Ben-Zeev, T
 Bandura, A
 Dweck, CS
 Wold, A
 STEVENSON, HW
 MIDGLEY, C
 BRABECK, MM
 LEE, SY
 HAMPSON, E
 Zvoch, K
 Booren, LM
 Verschueren, K
 Shin, RQ
 Haynes, NM
 Daniels, DH
 Waajid, B
 Lemery-Chalfant, K
 Sandfort, TGM
 Burchinal, M
 Reavis, RD
 Stuhlman, MW
 Rydell, AM
 Maxwell, SE
 Belsky, J
 Moffitt, TE
 Pianta, RC
 Krull, J L
 Schunn, CD
 McKagan, SB
 Cabrera, NL
 Corbett, KK
 Sonnert, G
 Eddy, SL
 Chemers, MM
 Freeman, S
 Garcia, CA
 Barrow, LH
 Sweeder, RD
 Fox, MF
 Smyth, FL
 Wright, C
 Pollock, SJ
 Pajares, F
 Koomen, HMY
 Moore, C
 Bornmann, L
 Lundy-Wagner, V
 Patrick, H
 Eagan, MK
 Gutierrez, B
 Cerna, O
 Desrochers, C
 Qi, J
 Wawrzynski, MR
 Kuh, GD
 Briggs, WL
 Blumenfeld, PC
 Davidson-Shivers, GV
 Cass, C
 Settlage, J
 Dewitt, J
 Blessing, JS
 Close, HG
 Kriek, J
 Zollman, DA
 Finkelstein, ND
 Coffey, JE
 Etkina, E
 Disessa, AA
 Hammer, D
 Haglund, J
 Zebrowitz, LA
 Dancy, M
 Higgins, ET
 Tullberg, BS
 WHILTSHIRE, TJ
 Bien, NV
 Schultz, PW
 Dasgupta, N
 Trautwein, U
 McDaniel, MA
 Pekrun, R
 Seitsinger, AM
 Weinstein, RS
 Chachra, D
 Silliman, SE
 Rodgers, KA
 Hazari, Z
 DeVore, S
 Schell, J
 Dundes, L
 Chai, CS
 Nola, R
 Skopeliti, I
 Jeffery, L
 BECKETT, WS
 Gonsalves, AJ
 Vokos, S
 Eryilmaz, A
 Pollock, S
 Deci, EL
 Milner-Bolotin, M
 Tsuchida, T
 POMIANKOWSKI, A
 BARBEE, AP
 Brown, KG
 Thoman, DB
 Kloser, MJ
 Young, TP
 Waters, SD
 Su, R
 Saran, S
 Ntoumanis, N
 Herzog, L
 Hodges, EVE
 Fane, BA
 Callanan, MA
 HARLEY, C
 Hamre, BK
 Bergin, D
 Taylor, AR
 Lamborn, SD
 Metz, A
 Wulff, P
 Thornton, RK
 Meltzer, DE
 Heron, PRL
 Ho, HNJ
 Richardson, PW
 Kretchmar, J
 Cromley, JG
 Abrosio, FFE
 McCord, JL
 THORNHILL, R
 RUSSELL, ML
 Rau, M
 Lariviere, V
 Pokropek, A
 King, B
 Elby, A
 Jones, B
 Hadlock, TD
 Sarrazin, P
 Davis-Kean, PE
 Dowson, M
 Miles, S
 Harachi, TW
 HAMILTON, CE
 Ladd, GW
 Bigatti, SM
 Ho, LH
 Nemirovsky, R
 Anderberg, E
 Wu, CH
 Gleason, KA
 Geary, DC
 Giuliani, SA
 Jaffke, P
 Guo, G
 Kay, BP
 San Andres, SA
 Jones, S
 Hukkanen, M
 Dressler, L
 Ghavamian, P
 Spyrou, A
 Margueron, J
 Vogt, R
 Svensson, E
 Arbanas, G
 Arbanas, G
 Matheson, Z
 Mattes, C
 Schmidt, KH
 Cao, Y
 Ott, U
 Finstad, D
 Vassh, N
 Weih, LR
 Gorda, T
 Piekarewicz, J
 Scielzo, ND
 Mazzali, P
 Knap, M
 Nakamura, K
 Yasin, H
 Lutostansky, YS
 Domingo-Pardo, C
 Reddy, S
 Gobel, K
 Larsen, AC
 Frauendorf, S
 Nishimura, S
 Gyurky, G
 Schuetrumpf, B
 Engel, J
 Burgio, GF
 Sierk, AJ
 Lentz, EJ
 Huther, L
 Nazarewicz, W
 Melson, T
 Ascher, P
 Pinedo, GM
 Nunes, FM
 Avrigeanu, M
 Arzhanov, A
 Holt, JW
 Alhassid, Y
 Holt, JD
 Liddick, SN
 Robledo, LM
 Uberseder, E
 Lederer, C
 Guttormsen, M
 Lam, YH
 Caballero, OL
 Litvinov, YA
 Mazurek, K
 Sida, JL
 Kiss, GG
 Belov, N
 Dauphas, N
 Kromer, M
 Blaum, K
 Caurier, E
 Dilling, J
 Shen, G
 Kondev, FG
 Audi, G
 Anderson, TS
 Aprahamian, A
 Burke, JT
 Myers, WD
 Sumiyoshi, K
 Wang, N
 Anderson, M
 Bernstein, LA
 Mohr, P
 Loens, HP
 Hennrich, S
 Cuenca-Garcia, JJ
 Meng, J
 Liu, S
 Dietrich, FS
 Wasserburg, GJ
 Vretenar, D
 Meyer, BS
 Gasques, LR
 Li, R
 Chankova, R
 Estrade, A
 Klimkiewicz, A
 Tachibana, T
 Korschinek, G
 Gausemel, H
 Khan, E
 Geissel, H
 WIESCHER, M
 BLANN, M
 Lim, Y
 Klawitter, R
 Reiter, MP
 Nishio, K
 Bingham, D
 Zhang, CL
 Althubiti, NAS
 Zhao, J
 Zhang, FS
 Gelletly, W
 Lacroix, D
 Kortelainen, M
 Wang, LH
 Sokolowska, N
 Margitych, TO
 Dang, ND
 Andrianov, V
 Paulauskas, SV
 Pei, JC
 Peru, S
 Bildstein, V
 Dubray, N
 Agbemava, SE
 Gorelov, D
 Lu, BN
 Bader, A
 Baczyk, P
 Magierski, P
 George, S
 McDonnell, JD
 Kim, YH
 Chen, LW
 Singh, B
 Birkenbach, B
 Bonett-Matiz, M
 Bortignon, PF
 Simenel, C
 Loveland, W
 Randrup, J
 Reed, MW
 Duke, D
 Schunck, N
 Paar, N
 Qi, C
 Dobaczewski, J
 Chiba, S
 Voronov, VV
 Shafer, T
 Ayik, S
 Yee, RM
 McDonnell, J
 Umar, AS
 Lascar, D
 Schury, P
 Baran, A
 Hakala, J
 Beck, D
 Girod, M
 Bernard, R
 Sonzogni, AA
 Aysto, J
 Brunner, T
 Kolhinen, VS
 Sakurai, H
 Uesaka, T
 Kameda, D
 Sheikh, JA
 Matos, M
 Gogny, D
 Lesinski, T
 Karvonen, P
 Borgmann, C
 Gade, A
 Shimizu, YR
 Mavrommatis, E
 Bertulani, CA
 Brodeur, M
 Rahaman, S
 Boyd, RN
 Bachelet, C
 Quentin, P
 Samyn, M
 Marketin, T
 Bender, E
 Vangioni, E
 Adachi, T
 Bardayan, DW
 Musumarra, A
 Herrmann, HW
 Canete, L
 Gonzalez-Garcia, MC
 Chae, KY
 Longland, R
 Mathai, AM
 Courtin, S
 Funaki, Y
 Tsujimoto, H
 Furuno, K
 Garcia, A
 Ruiz, C
 Kan, M
 Meixner, M
 Parikh, A
 Datar, VM
 Typel, S
 Janka, T
 Afanasjev, AV
 Hammache, F
 Bordeanu, C
 Allen, RC
 Anthony, DW
 Ahmed, SN
 Faestermann, T
 Formicola, A
 Vorobjev, GK
 Elomaa, VV
 Back, HO
 Detwiler, R
 Angulo, C
 Hernanz, M
 Champagne, AE
 Moskalenko, IV
 Barnes, CA
 Rehm, KE
 Cyburt, RH
 Costantini, H
 Adahchour, A
 Azuma, RE
 Kunz, R
 Moon, CB
 Algora, A
 Rykaczewski, KP
 Taieb, J
 Kirseboom, OS
 Simpson, GS
 Brewer, NT
 Sherrill, BM
 Gargano, A
 Terashima, S
 Naidja, H
 Lister, CJ
 Yuan, YJ
 Wang, M
 Gey, G
 Benlliure, J
 Lorusso, G
 Venkataramaniah, K
 Huyse, M
 Delaune, O
 Fuller, GM
 Eeckhaudt, S
 Antalic, S
 Nilsson, T
 Mittig, W
 Regan, PH
 Shimoura, S
 Rodriguez-Guzman, R
 Elseviers, J
 Pereira, J
 Suhonen, J
 Abbondanno, U
 Beun, J
 Koura, H
 Caceres, L
 Jokinen, A
 Hager, U
 Eronen, T
 Dillmann, I
 Champagne, C
 Blomeley, L
 Ackermann, D
 Sato, K
 Kretschmer, A
 Yuksel, H
 Genevey, J
 Daly, PJ
 Shubhchintak
 Prakash, M
 Cavallaro, M
 Itagaki, N
 Serpico, PD
 Pearson, JM
 Suzuki, Y
 Agashe, K
 Trezzi, D
 Yakovlev, DG
 Takahashi, K
 Allardt, M
 Iachello, F
 Davids, B
 Peng, J
 Poltoratska, I
 de Diego, R
 Gazit, D
 Rubio, B
 Luu, T
 Pradler, J
 Towner, IS
 Mangano, G
 Dzhazairov-Kakhramanov, AV
 Van Giai, NY
 Igamov, SB
 Rosati, S
 Blackston, MA
 Luis, H
 Faessler, A
 Guo, B
 Barate, R
 Karwowski, HJ
 Viviani, M
 van den Berg, AM
 Ko, CM
 Komori, M
 Messer, OEB
 Ferreira, LS
 KAVANAGH, RW
 OGATA, S
 LICOT, I
 MAK, HB
 KOONIN, SE
 Massimi, C
 Guber, KH
 Bionta, R
 Tsinganis, A
 Milazzo, PM
 Friedman, M
 Kappeler, F
 Koehler, P
 Reifarth, R
 Calviani, M
 Furutaka, K
 Colonna, N
 Fujii, K
 Fukuda, N
 Ahmed, MW
 Ivanov, AN
 Coquard, L
 Bredeweg, TA
 Wagemans, C
 Voss, F
 Ahle, L
 Dababneh, S
 Aerts, G
 Gledenov, YM
 KAPPELER, F
 JAAG, S
 WISSHAK, K
 GRAFF, SM
 VOSS, F
 Montanari, F
 Dimitriou, P
 Krastev, PG
 Ilkaev, RI
 Khoa, DT
 Erbacher, P
 Tengblad, O
 Boilig, R
 Maurin, D
 Wiescher, M
 Bieda, M
 Yanagita, S
 Gabici, S
 Sullivan, C
 Tan, WP
 Junker, M
 Gulminelli, F
 Gandolfi, S
 Eliseev, S
 Szucs, T
 Capote, R
 Chabrier, G
 Hussain, IA
 Marinova, KP
 Rochman, D
 Goutte, H
 David, JC
 Meot, V
 Mosconi, M
 Morel, P
 Herman, M
 Masaki, T
 Belier, G
 Utsunomiya, H
 Berger, JF
 Duijvestijn, MC
 Zhang, M
 Corsi, A
 Hirayama, Y
 Kobayashi, M
 Atanasov, D
 Bollen, G
 Kostensalo, J
 Burritt, TH
 Mollaebrahimi, A
 Giraud, S
 Takechi, M
 Karthein, J
 Wada, M
 Liu, JH
 Kankainen, A
 Altenmuller, K
 Zhang, JT
 Lee, J
 Barquest, BR
 Althubiti, N
 Hornung, C
 Gan, ZG
 Zhang, HF
 Langer, C
 Indelicato, P
 Cao, YC
 Lantz, M
 Sharkov, BY
 Valverde, AA
 Zhang, YH
 Ahn, DS
 Ito, Y
 Chen, XC
 Leach, KG
 Kwiatkowski, AA
 Sarmiento, LG
 Alanssari, M
 Pomp, S
 Filianin, P
 Hardy, JC
 Kelic-Heil, A
 Poves, A
 Bissell, ML
 Thomas, B
 Frekers, D
 Andreoiu, C
 Berkaev, D
 Sanchez, R
 Woods, PJ
 Valencia, E
 Ariche, J
 Wagner, A
 Suzuki, S
 Grossheim, A
 Beyer, T
 Schultz, BE
 Kobayashi, N
 Cakirli, RB
 Abdullin, FS
 Bale, JC
 Novikov, YN
 Papenbrock, T
 Riisager, K
 Cullen, IJ
 Suzuki, T
 Block, M
 Casten, RF
 Weinheimer, C
 Ploszajczak, M
 McDaniel, J
 Adimi, N
 Baruah, S
 Lenzi, SM
 Vinodkumar, AM
 Kessler, EG
 Nortershauser, W
 Burvenich, TJ
 Lofy, PA
 Enqvist, T
 Blank, B
 Isi, M
 Yu, HC
 Field, SE
 Yokoyama, S
 Schmidt, P
 Zlochower, Y
 Ayriyan, A
 Yungelson, LR
 Zwart, SP
 Raisbeck, GM
 Shaviv, NJ
 Watanabe, YX
 Krucken, R
 Kubo, T
 Franchoo, S
 Sinclair, L
 Mukai, M
 Garrote, FLB
 Go, S
 Watanabe, H
 Goigoux, T
 Zhu, S
 Tsunoda, Y
 Xu, FR
 Crider, BP
 Louchart, C
 Dracoulis, GD
 Pauwels, D
 Kaneko, K
 Macchiavelli, AO
 Otsuka, T
 Aoi, N
 Sun, Y
 Chiara, CJ
 Covello, A
 Gorska, M
 Velazquez, V
 Ueno, H
 Rusu, C
 Wood, JL
 Liu, Z
 Yoshinaga, K
 Sarkar, MS
 Vingerhoets, P
 Nettleton, AS
 Ivanov, O
 Greiner, W
 Goergen, A
 Porquet, MG
 Borge, MJG
 Ren, ZZ
 Grevy, S
 Carpenter, MP
 Janssens, RVF
 Ramayya, AV
 Liotta, RJ
 Bazin, D
 Roeckl, E
 Morimoto, K
 Brown, BA
 Batist, L
 Freeman, SJ
 Matea, I
 DRACOULIS, GD
 SAGAWA, H
 ISHIHARA, M
 Takacs, MP
 Aliotta, M
 Barbagallo, M
 De Cesare, N
 Prati, P
 Adam, J
 Zhang, G
 Lombardo, I
 Wheldon, C
 Perdikakis, G
 Estee, J
 Fornal, B
 Cavanna, F
 Scott, DA
 Gannon, S
 Roeder, BT
 Anzalone, A
 Nagae, T
 Leoni, S
 Crespi, FCL
 Lovato, A
 Greife, U
 Steiner, AW
 Pagano, A
 Benussi, L
 Ahmed, Z
 Pozzi, G
 Vitturi, A
 Agodi, C
 Azaiez, F
 Li, BA
 Lukasik, J
 Freer, M
 Rosales, P
 Alderighi, M
 Xiong, SL
 Read, JS
 Jones, G
 Kadau, K
 Bhattacharya, M
 Loffler, F
 Li, TGF
 Khachatryan, V
 Read, J
 Pollney, D
 Sperhake, U
 Tichy, W
 Shapere, AD
 Landsberg, G
 Metris, G
 Do, T
 Wang, C
 Audley, H
 Paolozzi, A
 Broderick, AE
 Blas, D
 Weber, CTM
 Abgrall, M
 Toth, VT
 Faraoni, V
 Zhan, BF
 McGaugh, SS
 Brown, JM
 Laemmerzahl, C
 Kunz, J
 Russell, N
 Scully, ST
 Ludlow, AD
 Choi, KY
 Guan, SG
 Cook, TS
 Comer, GL
 Nazarov, AI
 Chapelet, F
 Nicolis, A
 Moore, GD
 Tobar, ME
 Taylor, BN
 Lipphardt, B
 Kolachevsky, N
 Davis, AN
 Davis, JL
 Chand, H
 Herrmann, S
 Diddams, SA
 Dos Santos, FP
 Nissen, JA
 Bize, S
 Schmidt, U
 Platscher, M
 Deskins, JT
 von Strauss, M
 Yang, SQ
 Jain, B
 Serone, M
 Mortonson, MJ
 Koivisto, TS
 Appleby, S
 Huang, YQ
 Hui, L
 Crisostomi, M
 Scott, D
 Rosen, RA
 Du, XL
 Copeland, EJ
 Yamaguchi, M
 Papantonopoulos, E
 Visser, M
 Pang, Y
 Papazoglou, A
 Mannheim, PD
 Fitzpatrick, AL
 King, L
 Kaloper, N
 Woodard, RP
 Kiley, D
 Sapone, D
 Zamarias, V
 Melchiorri, A
 Challinor, A
 Hebecker, A
 Ng, SP
 Albergo, MS
 Neufcourt, L
 Perez, RN
 Fasano, PJ
 Regnier, D
 Carlson, J
 Neveu, N
 Golak, J
 Neill, D
 Boser, S
 Sandulescu, N
 Su, C
 Peng, D
 King, GB
 Pang, LG
 Hagen, G
 Fang, JY
 Vargas, CZ
 Ball, RD
 Moreland, JS
 Furnstahl, RJ
 Forssen, C
 Bohler, D
 Lovell, AE
 Vary, JP
 Orginos, K
 Kroyter, M
 Horiuchi, H
 Nocera, ER
 Metodiev, EM
 Bernhard, JE
 Epelbaum, E
 Sato, N
 Wesolowski, S
 Chen, WC
 Li, N
 Liuti, S
 Sangaline, E
 Ollitrault, JY
 Terzic, B
 Muller, D
 Phillips, DR
 Sinclair, CK
 Bischoff, A
 Aoki, Y
 Romero-Lopez, F
 Aoki, S
 Obertelli, A
 Doring, M
 Kanungo, R
 Bulava, J
 Hebeler, K
 Hergert, H
 Binder, S
 Schiavilla, R
 Huth, L
 He, RZ
 Krebs, H
 Sasaki, K
 Simonis, J
 Barbieri, C
 Baroni, A
 Pang, JY
 Carbone, A
 Machleidt, R
 Rotureau, J
 Stroberg, SR
 Hammer, HW
 Gezerlis, A
 Danielewicz, P
 Dudek, JJ
 Navratil, P
 Lynn, JE
 Jansen, GR
 Hjorth-Jensen, M
 Mei, Y
 de Elvira, JR
 Bogner, SK
 Ekstrom, A
 Barnea, N
 Klco, N
 Girlanda, L
 Contessi, L
 Ishii, N
 Meiner, UG
 Cipollone, A
 Chang, E
 Baardsen, G
 Kruger, T
 Hoja, D
 Yang, CJ
 Rusetsky, A
 Entem, DR
 Detmold, W
 Schwenk, A
 Quaglioni, S
 Gegelia, J
 Arriola, ER
 Timmermans, RGE
 Sachrajda, CT
 Feng, X
 Glockle, W
 Pieper, SC
 STOKS, VGJ
 DESWART, JJ
 Lutz, MFM
 Finkenrath, J
 Kaneko, T
 Gerard, JM
 Della Morte, M
 Della Morte, M
 Gorchtein, M
 Lanz, S
 Achasov, MN
 Heo, Y
 Herdoiza, G
 Lucini, B
 Bacchetta, A
 Fritzsch, P
 Davoudi, Z
 Melnitchouk, W
 Cossu, G
 Dees, EB
 Lubicz, V
 Banerjee, S
 Kanamori, I
 Del Debbio, L
 Garron, N
 Constantinou, M
 Meyer, HB
 Gulpers, V
 Brida, MD
 Guo, FK
 Kamali, S
 Luscher, M
 Adeva, B
 Bijnens, J
 Chetyrkin, KG
 Ruijl, B
 Yang, YB
 Hudspith, RJ
 Nakamura, Y
 Fukaya, H
 Alekhin, S
 Shindler, A
 Maier, A
 Alexandrou, C
 Fodor, Z
 Weisz, P
 Juttner, A
 Patella, A
 Blum, T
 Cirigliano, V
 Rossler, T
 Bazavov, A
 Jost, C
 Hoang, AH
 Christ, NH
 Courtoy, A
 Giusti, L
 Djukanovic, D
 Edwards, RG
 Deuzeman, A
 Peters, A
 Morenas, V
 Bernard, C
 Ciuchini, M
 Harindranath, A
 Camalich, JM
 Bostrom, E
 Ecker, G
 Degrassi, G
 Durr, S
 Garcia-Ramos, E
 Lepage, GP
 Ramos, A
 Schaefer, S
 Flynn, JM
 Olsen, SL
 Jansen, K
 Markisch, B
 Pattie, RW
 Carrasco, N
 Bruns, PC
 Knechtli, F
 Geng, LS
 Ent, R
 Descotes-Genon, S
 Jager, B
 Procura, M
 Drach, V
 Dimopoulos, P
 Gorbahn, M
 Colangelo, G
 Jemos, I
 Karbstein, F
 Donnellan, M
 Meissner, UG
 Paz, G
 Hart, AG
 Hoschele, M
 Bloch, J
 Sommer, R
 Ishikawa, KI
 Weiermann, C
 Lage, M
 Tormo, XGI
 Palombi, F
 Asner, DM
 Boucaud, P
 Pawlowski, JM
 Hashimoto, S
 Toussaint, D
 McNeile, C
 Kiyo, Y
 Smirnov, VA
 Maierhofer, P
 Hierl, D
 Freeman, W
 Van Giai, N
 Walker-Loud, A
 Neufeld, H
 Damgaard, PH
 Hayakawa, M
 Wolfe, CE
 Davies, CTH
 Boyle, PA
 Roca, L
 Akernann, G
 Steinhauser, M
 Heitger, J
 Diehl, M
 Hoffmann, R
 Kuhn, JH
 Verbeni, M
 Kotikov, AV
 Khodjamirian, A
 Neuberger, H
 Fuhrer, A
 Fleming, GT
 Blossier, B
 Leroy, JP
 Grinstein, B
 Trottier, HD
 Ritz, A
 Frezzotti, R
 Horsley, R
 Aubin, C
 Isidori, G
 Jamin, M
 Hart, A
 Kayaba, Y
 Rossi, GC
 Bakeyev, T
 Hernandez, P
 Oller, JA
 Follana, E
 Carey, J
 Zurbriggen, EL
 Bache, LM
 Lewis, GB
 Brown, CS
 Heine, SJ
 Rubel, T
 Harber, KD
 Uosif, MAM
 Walton, G
 Dutra, M
 Heikinheimo, M
 Tumasyan, A
 Alsum, S
 Xiao, MJ
 Abramowski, A
 Alpat, B
 Ageron, M
 Jacques, T
 Sanchez-Conde, M
 Green, AM
 Araujo, HM
 Camargo-Molina, JE
 Krishnamurthy, S
 Rauch, L
 Cohen-Tanugi, J
 Buchmueller, O
 Franse, J
 Luo, F
 Walker, MG
 Villadoro, G
 Lee, S
 Baer, HA
 Wulzer, A
 Abe, K
 Hellmann, C
 Gainer, JS
 Agnes, P
 Cavanaugh, R
 Ruchayskiy, O
 Kuflik, E
 Dighera, F
 Aguilar, M
 Fornengo, N
 Heinemeyer, S
 Howe, K
 Belli, P
 Nagao, KI
 Kim, JE
 Ghosh, D
 Hook, A
 Buckley, A
 Volkas, RR
 Abbasi, R
 Casas, JA
 Alberti, G
 Acero, F
 White, SDM
 Graesser, ML
 Ferreira, PM
 Kannike, K
 Bhang, H
 Covi, L
 Lineros, R
 Shoemaker, IM
 Li, XD
 Cao, QH
 Iengo, R
 Mikheeva, EV
 Fox, PJ
 Panci, P
 Hugonie, C
 Kitching, T
 Jedamzik, K
 Schwaller, P
 Nojiri, MM
 Kadastik, M
 Kanemura, S
 Hoche, S
 Kumar, J
 Gieseke, S
 Thaler, J
 Bobkov, K
 Bergstrom, L
 Goh, HS
 Delgado, A
 Tucker-Smith, D
 Rajaraman, A
 Feng, JL
 Schwarz, S
 Wienholtz, F
 Dickel, T
 Baartman, R
 Andres, SAS
 Schiel, D
 Gehring, AE
 Vieira, N
 Lam, SF
 Biggs, J
 Pintrich, PR
 Canning, EA
 Kukliansky, I
 Nokes-Malach, TJ
 Hirokawa, T
 Donnelly, R
 Lin-Siegler, X
 Mehalik, MM
 EGHARRI, H
 Gauthier, A
 Cavagnetto, A
 Mason, A
 Linder, C
 Champaign, J
 Marsh, HW
 Mayer, RE
 Kalet, AL
 Elen, J
 van Joolingen, WR
 Grabowski, BL
 Frederiksen, J
 McNamara, D
 Zamboanga, BL
 Deloney, LA
 McGregor, HA
 Tiedens, LZ
 Lukowski, SL
 Barth, JM
 Kanny, MA
 Schmader, T
 Eagly, AH
 Redick, TS
 Nosek, BA
 Thiem, KC
 Wai, J
 Master, A
 Cameron, JS
 Krizan, Z
 Fisher, J
 Ginther, DK
 Samuelson, CC
 Cheung, AK
 Pettigrew, TF
 DiPrete, TA
 Vescio, TK
 Gore, PA
 Mineo, CC
 Ruff, C
 Kanfer, R
 Guzman, S
 Margolis, J
 Schult, J
 Pea, R
 Fischer, MJ
 McDonald, SK
 Mistele, JM
 Nelson, LD
 Levine, CS
 Young, AF
 Dinella, LM
 Carlstrom, AH
 Spencer, SJ
 Vandello, JA
 Kearn, J
 Diekman, AB
 Bosson, JK
 Andrews, N
 Daniel, LG
 Hartman, M
 Steiner, HH
 Phelan, JE
 Allen, KR
 Denson, N
 Papierno, PB
 Dunning, D
 Banaji, MR
 Karau, SJ
 Mueller, EM
 Tost, LP
 Mussweiler, T
 Greenaway, KH
 Simon, S
 Flynn, FJ
 Salas, E
 Claypool, HM
 Glick, P
 HEIMBERG, RG
 Judd, CM
 Trope, Y
 DeBruine, LM
 Smith, MJL
 Smith, FG
 Niesta, D
 Kryspin-Exner, I
 Apicella, CL
 Pawlowski, B
 Mamanian, D
 Faurie, C
 Neave, N
 Garver-Apgar, CE
 Zhang, Q
 Maloney, LT
 Leopold, DA
 Cathey, MG
 Kaping, D
 Chan, J
 Johansson, LC
 Alnwick, KA
 Penton-Voak, IS
 Dal Martello, MF
 Quah, SH
 MacLin, OH
 Bridgstock, R
 ARAK, A
 GANGESTAD, SW
 KEELE, SW
 ARONSON, V
 Tybur, JM
 Mayo, M
 Heistermann, M
 Emlen, ST
 GUILFORD, TC
 Jacobs, JE
 Chapman, JP
 Taylor, JA
 Knipprath, H
 Tan, YSM
 Putnick, DL
 Neumann, K
 Kim, BC
 Byun, SY
 Janssen, FJJM
 Hottecke, D
 Moru, EK
 Gras-Marti, A
 Gunstone, R
 Chang, CY
 Morrison-Love, D
 Harwell, M
 Makela, CJ
 Stuessy, C
 Seifert, AL
 Kermish-Allen, R
 Andrade, R
 Guzey, S
 Moore, TJ
 Herro, D
 Knowles, JG
 Kirchgasler, KL
 Miller, RL
 Duit, R
 Olsson, L
 Spero, RB
 van Knippenberg, A
 PIERSON, FM
 KULIG, K
 Knezek, G
 Koziol, N
 Tran, TT
 Smith, JB
 Wagner, P
 He, Y
 Kruse, RA
 Pak, AWP
 Jones, FHM
 Pelaez, NJ
 Armstrong, JE
 Bamberry, NJ
 Abedin, M
 Goh, JX
 Rubineau, B
 Rosivall, B
 HilleRisLambers, J
 Haak, D
 Glienke, BB
 Krieger, LH
 Omland, KS
